customer_id,age,gender,total_purchase_amount,location,total_purchases,is_subscriber,preferred_size,preferred_color,preferred_shipping,used_promo_code,preferred_payment_method,average_review_rating,average_purchase_amount,cluster
1,55,Male,53,Kentucky,15,True,L,Gray,Express,True,Venmo,3.1,3.533333333333333,1
8,27,Male,34,Louisiana,20,True,L,Charcoal,Free Shipping,True,Credit Card,3.2,1.7,1
13,61,Male,72,Delaware,38,True,M,Gold,Express,True,Venmo,4.5,1.894736842105263,1
17,25,Male,36,Alabama,45,True,S,Gray,Next Day Air,True,Debit Card,4.1,0.8,1
21,21,Male,51,Louisiana,51,True,M,Black,Express,True,Cash,2.8,1.0,1
25,18,Male,22,Florida,17,True,M,Green,Store Pickup,True,Debit Card,2.9,1.2941176470588236,1
28,56,Male,56,Kentucky,8,True,L,Cyan,Next Day Air,True,Bank Transfer,5.0,7.0,1
34,54,Male,38,Colorado,46,True,L,Green,Store Pickup,True,Cash,3.3,0.8260869565217391,1
37,35,Male,69,Illinois,45,True,M,Maroon,Free Shipping,True,PayPal,4.6,1.5333333333333334,1
38,35,Male,45,Indiana,11,True,S,Cyan,Store Pickup,True,PayPal,2.8,4.090909090909091,1
41,69,Male,76,Louisiana,32,True,L,Beige,Next Day Air,True,Debit Card,4.6,2.375,1
53,42,Male,20,Alaska,27,True,M,Green,Free Shipping,True,Credit Card,2.6,0.7407407407407407,1
61,50,Male,37,Idaho,18,True,L,Brown,Express,True,Cash,4.0,2.0555555555555554,1
64,33,Male,79,Arizona,44,True,L,Lavender,2-Day Shipping,True,Credit Card,2.7,1.7954545454545454,1
65,65,Male,83,Alabama,19,True,S,Green,Standard,True,Debit Card,4.8,4.368421052631579,1
68,45,Male,33,Connecticut,50,True,L,Gray,Store Pickup,True,Debit Card,4.4,0.66,1
71,22,Male,29,Alabama,33,True,M,Magenta,Express,True,Debit Card,4.2,0.8787878787878788,1
78,22,Male,53,Delaware,37,True,L,Gold,Next Day Air,True,Debit Card,3.3,1.4324324324324325,1
97,32,Male,73,Delaware,44,True,S,Gold,Express,True,Venmo,3.6,1.6590909090909092,1
115,70,Male,95,Massachusetts,10,True,S,Blue,Store Pickup,True,Cash,3.7,9.5,1
124,57,Male,89,Louisiana,47,True,L,Brown,Free Shipping,True,Cash,3.1,1.8936170212765957,1
126,49,Male,54,California,46,True,M,Indigo,Next Day Air,True,Venmo,3.6,1.173913043478261,1
129,20,Male,32,California,22,True,M,Gold,Standard,True,Credit Card,4.7,1.4545454545454546,1
147,52,Male,30,Colorado,22,True,S,Black,Standard,True,Venmo,4.0,1.3636363636363635,1
151,35,Male,96,California,18,True,L,Cyan,Standard,True,Debit Card,4.9,5.333333333333333,1
167,46,Male,31,Delaware,31,True,XL,Indigo,Store Pickup,True,Cash,4.0,1.0,1
168,33,Male,27,Arkansas,15,True,M,Green,Express,True,Credit Card,4.0,1.8,1
178,21,Male,42,Kansas,48,True,L,Magenta,Next Day Air,True,Bank Transfer,3.7,0.875,1
179,61,Male,43,Idaho,22,True,L,Lavender,2-Day Shipping,True,PayPal,4.3,1.9545454545454546,1
182,32,Male,61,Massachusetts,5,True,M,Beige,Next Day Air,True,Bank Transfer,4.7,12.2,1
185,32,Male,33,Hawaii,41,True,L,Cyan,Express,True,Cash,3.0,0.8048780487804879,1
191,65,Male,70,Indiana,49,True,XL,Beige,Free Shipping,True,Venmo,3.0,1.4285714285714286,1
200,54,Male,73,Idaho,33,True,XL,Green,Express,True,Cash,3.8,2.212121212121212,1
215,24,Male,50,Hawaii,42,True,L,Blue,Next Day Air,True,Cash,4.2,1.1904761904761905,1
219,28,Male,45,California,9,True,S,Magenta,Store Pickup,True,Credit Card,2.9,5.0,1
221,39,Male,57,Arizona,49,True,S,Indigo,Express,True,Debit Card,3.7,1.163265306122449,1
238,50,Male,90,Iowa,37,True,M,Beige,Store Pickup,True,Debit Card,3.0,2.4324324324324325,1
256,43,Male,20,Maryland,26,True,M,Charcoal,Free Shipping,True,Debit Card,4.2,0.7692307692307693,1
259,61,Male,74,Alabama,17,True,S,Lavender,Express,True,Cash,2.8,4.352941176470588,1
260,32,Male,57,Louisiana,14,True,M,Gold,Standard,True,Debit Card,2.9,4.071428571428571,1
262,21,Male,77,California,22,True,L,Magenta,Standard,True,Credit Card,4.9,3.5,1
265,36,Male,78,Colorado,16,True,S,Charcoal,Store Pickup,True,Cash,3.9,4.875,1
269,68,Male,42,Georgia,22,True,M,Charcoal,Store Pickup,True,Cash,2.6,1.9090909090909092,1
270,68,Male,44,Georgia,10,True,M,Charcoal,Next Day Air,True,Cash,3.3,4.4,1
278,29,Male,29,Georgia,37,True,M,Green,Store Pickup,True,Bank Transfer,3.0,0.7837837837837838,1
288,56,Male,37,Delaware,19,True,L,Blue,2-Day Shipping,True,Venmo,3.4,1.9473684210526316,1
291,58,Male,33,Colorado,51,True,M,Indigo,Standard,True,PayPal,3.7,0.6470588235294118,1
297,25,Male,74,Indiana,20,True,S,Lavender,2-Day Shipping,True,Credit Card,4.8,3.7,1
309,66,Male,29,Maryland,46,True,M,Beige,Standard,True,Venmo,3.7,0.6304347826086957,1
317,36,Male,22,California,47,True,M,Charcoal,Free Shipping,True,Venmo,3.3,0.46808510638297873,1
332,31,Male,98,Florida,47,True,L,Beige,Store Pickup,True,PayPal,3.3,2.0851063829787235,1
335,41,Male,46,Kansas,31,True,M,Lavender,Next Day Air,True,Credit Card,2.6,1.4838709677419355,1
350,37,Male,87,Arizona,4,True,M,Green,2-Day Shipping,True,Bank Transfer,3.7,21.75,1
385,70,Male,33,California,7,True,M,Beige,2-Day Shipping,True,Venmo,4.5,4.714285714285714,1
387,64,Male,39,Louisiana,41,True,L,Brown,Express,True,PayPal,3.4,0.9512195121951219,1
391,25,Male,71,Indiana,20,True,M,Indigo,2-Day Shipping,True,PayPal,3.2,3.55,1
393,26,Male,82,Idaho,39,True,XL,Black,Next Day Air,True,Credit Card,3.3,2.1025641025641026,1
400,60,Male,35,Idaho,11,True,L,Blue,2-Day Shipping,True,Debit Card,3.5,3.1818181818181817,1
403,31,Male,78,California,27,True,L,Cyan,Express,True,PayPal,3.0,2.888888888888889,1
405,35,Male,93,Delaware,12,True,M,Indigo,Store Pickup,True,Credit Card,4.8,7.75,1
416,67,Male,31,Connecticut,41,True,M,Lavender,Express,True,Bank Transfer,2.6,0.7560975609756098,1
425,66,Male,23,Illinois,43,True,M,Gold,Standard,True,PayPal,4.3,0.5348837209302325,1
428,58,Male,91,Illinois,7,True,L,Black,Store Pickup,True,Credit Card,4.5,13.0,1
433,47,Male,86,Indiana,27,True,S,Indigo,Free Shipping,True,Venmo,3.3,3.185185185185185,1
444,22,Male,67,Hawaii,25,True,M,Magenta,Free Shipping,True,PayPal,3.6,2.68,1
451,25,Male,21,Connecticut,20,True,L,Beige,Store Pickup,True,Credit Card,2.7,1.05,1
459,47,Male,91,Arkansas,49,True,L,Black,2-Day Shipping,True,PayPal,4.0,1.8571428571428572,1
460,63,Male,30,Maryland,28,True,L,Black,Standard,True,PayPal,3.8,1.0714285714285714,1
473,20,Male,39,Georgia,4,True,L,Gray,Free Shipping,True,Bank Transfer,3.9,9.75,1
477,21,Male,90,Connecticut,3,True,M,Magenta,Free Shipping,True,Debit Card,3.5,30.0,1
493,50,Male,62,Michigan,12,True,M,Black,Standard,True,Debit Card,3.9,5.166666666666667,1
495,38,Male,68,Indiana,43,True,M,Indigo,Express,True,Debit Card,4.5,1.5813953488372092,1
499,43,Male,78,Iowa,28,True,M,Lavender,Free Shipping,True,Bank Transfer,3.6,2.7857142857142856,1
502,64,Male,45,Florida,22,True,M,Cyan,Next Day Air,True,Venmo,2.9,2.0454545454545454,1
