customer_id,age,gender,total_purchase_amount,location,total_purchases,is_subscriber,preferred_size,preferred_color,preferred_shipping,used_promo_code,preferred_payment_method,average_review_rating,average_purchase_amount,cluster
11,53,Male,34,Arkansas,27,True,L,Purple,Store Pickup,True,Bank Transfer,4.1,1.2592592592592593,3
12,30,Male,68,Hawaii,11,True,S,Olive,Store Pickup,True,Bank Transfer,4.9,6.181818181818182,3
23,56,Male,37,California,33,True,M,Peach,Store Pickup,True,Debit Card,3.2,1.121212121212121,3
33,36,Male,67,Kansas,38,True,M,Silver,Free Shipping,True,Venmo,4.9,1.763157894736842,3
39,29,Male,37,Florida,45,True,M,Red,2-Day Shipping,True,Venmo,3.7,0.8222222222222222,3
40,70,Male,60,Arizona,19,True,S,Turquoise,Express,True,Credit Card,4.2,3.1578947368421053,3
42,67,Male,39,Alaska,41,True,M,Orange,Standard,True,Venmo,4.5,0.9512195121951219,3
45,39,Male,53,Kentucky,46,True,S,Silver,Free Shipping,True,PayPal,4.6,1.1521739130434783,3
47,57,Male,43,California,46,True,L,White,Store Pickup,True,Cash,2.9,0.9347826086956522,3
60,63,Male,79,Louisiana,5,True,L,Yellow,Standard,True,Debit Card,4.6,15.8,3
73,18,Male,26,Georgia,22,True,M,Olive,Store Pickup,True,Bank Transfer,2.9,1.1818181818181819,3
74,48,Male,85,Hawaii,44,True,M,Teal,Free Shipping,True,Bank Transfer,2.7,1.9318181818181819,3
75,49,Male,58,Indiana,4,True,L,Violet,Express,True,Cash,4.5,14.5,3
77,50,Male,43,Delaware,33,True,S,Teal,Free Shipping,True,Venmo,4.2,1.303030303030303,3
80,38,Male,96,Iowa,44,True,M,Olive,2-Day Shipping,True,Bank Transfer,2.6,2.1818181818181817,3
83,19,Male,28,Georgia,22,True,S,Olive,2-Day Shipping,True,Credit Card,4.0,1.2727272727272727,3
85,52,Male,32,Arizona,43,True,S,Peach,Standard,True,Bank Transfer,4.4,0.7441860465116279,3
90,47,Male,83,California,16,True,XL,Pink,Next Day Air,True,Cash,3.6,5.1875,3
94,37,Male,62,Florida,47,True,M,Purple,Standard,True,Credit Card,4.5,1.3191489361702127,3
110,58,Male,85,Alabama,44,True,M,Violet,Next Day Air,True,Bank Transfer,2.6,1.9318181818181819,3
113,37,Male,65,Florida,29,True,M,Red,Free Shipping,True,PayPal,4.3,2.2413793103448274,3
119,50,Male,45,Kentucky,28,True,L,Orange,2-Day Shipping,True,Cash,4.8,1.6071428571428572,3
131,44,Male,39,Kentucky,14,True,L,Violet,Next Day Air,True,PayPal,3.7,2.7857142857142856,3
136,43,Male,81,Kansas,13,True,M,Purple,Express,True,PayPal,4.1,6.230769230769231,3
138,68,Male,43,Colorado,39,True,M,Turquoise,Free Shipping,True,PayPal,4.7,1.1025641025641026,3
139,68,Male,29,Georgia,43,True,M,Maroon,Store Pickup,True,Bank Transfer,4.4,0.6744186046511628,3
140,49,Male,95,Florida,31,True,M,White,Store Pickup,True,Venmo,3.8,3.064516129032258,3
148,63,Male,64,Idaho,32,True,M,Purple,2-Day Shipping,True,Bank Transfer,3.5,2.0,3
150,38,Male,76,Delaware,15,True,M,White,Free Shipping,True,PayPal,3.2,5.066666666666666,3
159,25,Male,73,Connecticut,51,True,XL,Teal,Standard,True,Bank Transfer,4.1,1.4313725490196079,3
163,54,Male,74,California,32,True,M,Turquoise,Store Pickup,True,PayPal,3.0,2.3125,3
165,59,Male,65,Delaware,6,True,S,Purple,Free Shipping,True,Credit Card,2.6,10.833333333333334,3
166,42,Male,60,Kentucky,8,True,S,Yellow,Store Pickup,True,Cash,2.8,7.5,3
174,25,Male,46,Hawaii,31,True,M,Turquoise,Standard,True,Cash,3.4,1.4838709677419355,3
180,64,Male,31,Illinois,10,True,M,Violet,Store Pickup,True,Bank Transfer,4.9,3.1,3
183,38,Male,96,Alabama,11,True,XL,Purple,Store Pickup,True,Debit Card,2.8,8.727272727272727,3
188,19,Male,94,Georgia,2,True,S,Purple,Store Pickup,True,Bank Transfer,3.3,47.0,3
189,50,Male,53,Arkansas,6,True,M,Pink,Express,True,Bank Transfer,3.1,8.833333333333334,3
204,70,Male,38,Indiana,19,True,S,Yellow,Next Day Air,True,Bank Transfer,3.2,2.0,3
205,24,Male,100,Arizona,36,True,M,Yellow,Store Pickup,True,Cash,4.0,2.7777777777777777,3
206,67,Male,64,Hawaii,26,True,M,Silver,Standard,True,PayPal,3.0,2.4615384615384617,3
226,25,Male,22,Arkansas,12,True,M,Olive,Next Day Air,True,Bank Transfer,3.2,1.8333333333333333,3
233,54,Male,27,Hawaii,33,True,L,Purple,Express,True,Bank Transfer,4.2,0.8181818181818182,3
234,19,Male,83,Arizona,28,True,XL,Yellow,Next Day Air,True,Bank Transfer,4.5,2.9642857142857144,3
242,36,Male,88,Delaware,44,True,M,Peach,Free Shipping,True,Venmo,4.1,2.0,3
250,53,Male,47,Alaska,19,True,S,Teal,Standard,True,Credit Card,4.2,2.473684210526316,3
253,32,Male,41,Delaware,34,True,M,Violet,Free Shipping,True,Venmo,3.9,1.2058823529411764,3
255,67,Male,42,Indiana,5,True,M,White,Store Pickup,True,PayPal,3.5,8.4,3
263,37,Male,40,Hawaii,7,True,M,Teal,Next Day Air,True,Debit Card,3.7,5.714285714285714,3
264,27,Male,46,Iowa,30,True,M,Purple,Store Pickup,True,Venmo,4.3,1.5333333333333334,3
267,51,Male,75,Louisiana,33,True,L,White,Express,True,Credit Card,3.1,2.272727272727273,3
272,65,Male,69,Maryland,43,True,XL,Yellow,Express,True,Credit Card,4.6,1.6046511627906976,3
